SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PTS_L1,PTS_L3,PTS_L5,MIN_L3,FGA_L3,HOME,REST_DAYS,PTS_next_game
22023,1627759,22301134,2024-04-07,BOS vs. POR,W,30,10,17,0.588,3,5,0.6,3,3,1.0,0,4,4,2,1,1,2,2,26,6,1,2023-24,15.0,23.666666666666668,23.6,29.666666666666668,18.0,1,-364.0,6.0
22024,1627759,22401151,2025-04-08,BOS @ NYK,W,22,2,8,0.25,0,2,0.0,2,2,1.0,0,5,5,1,0,0,3,3,6,-2,1,2024-25,26.0,22.0,24.0,30.333333333333332,18.333333333333332,0,366.0,14.0
22023,1627759,22301148,2024-04-09,BOS @ MIL,L,36,7,19,0.368,0,6,0.0,0,0,0.0,4,6,10,3,4,0,5,3,14,-13,1,2023-24,6.0,15.666666666666666,20.6,24.666666666666668,11.333333333333334,0,-364.0,15.0
22023,1627759,22301167,2024-04-11,BOS vs. NYK,L,29,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,-29,1,2023-24,14.0,15.333333333333334,17.2,29.333333333333332,14.666666666666666,1,2.0,20.0
22023,1627759,22300275,2023-12-01,BOS vs. PHI,W,35,8,20,0.4,1,4,0.25,3,4,0.75,1,3,4,0,4,2,3,3,20,10,1,2023-24,15.0,11.666666666666666,15.2,29.0,14.0,1,-132.0,37.0
22022,1627759,22200328,2022-12-02,BOS vs. MIA,L,46,12,23,0.522,5,11,0.455,8,9,0.889,0,14,14,5,0,0,5,2,37,7,1,2022-23,20.0,16.333333333333332,16.2,33.333333333333336,18.0,1,-364.0,29.0
22024,1627759,22400316,2024-12-02,BOS vs. MIA,W,31,8,21,0.381,4,11,0.364,9,10,0.9,4,3,7,4,1,0,2,2,29,23,1,2024-25,37.0,24.0,18.4,36.666666666666664,19.333333333333332,1,731.0,34.0
22022,1627759,22200346,2022-12-04,BOS @ BKN,W,40,10,20,0.5,5,9,0.556,9,11,0.818,2,8,10,2,2,4,0,2,34,16,1,2022-23,29.0,28.666666666666668,23.0,37.333333333333336,21.333333333333332,0,-729.0,30.0
22023,1627759,22301202,2023-12-04,BOS @ IND,L,31,14,23,0.609,2,7,0.286,0,1,0.0,2,7,9,0,1,2,3,6,30,-10,1,2023-24,34.0,33.333333333333336,27.0,39.0,21.333333333333332,0,365.0,28.0
22024,1627759,22400319,2024-12-04,BOS vs. DET,W,39,10,21,0.476,1,6,0.167,7,11,0.636,1,5,6,9,3,0,4,0,28,16,1,2024-25,30.0,31.0,30.0,34.0,21.333333333333332,1,366.0,22.0
22022,1627759,22200355,2022-12-05,BOS @ TOR,W,39,9,22,0.409,1,6,0.167,3,4,0.75,0,8,8,8,0,0,0,1,22,6,1,2022-23,28.0,30.666666666666668,31.6,36.666666666666664,21.333333333333332,0,-730.0,25.0
22024,1627759,22400335,2024-12-06,BOS vs. MIL,W,34,10,21,0.476,3,9,0.333,2,2,1.0,1,2,3,3,0,1,1,3,25,5,1,2024-25,22.0,26.666666666666668,28.6,36.333333333333336,22.0,1,732.0,25.0
22022,1627759,22200373,2022-12-07,BOS @ PHX,W,28,9,24,0.375,2,8,0.25,5,5,1.0,3,4,7,3,2,0,1,0,25,27,1,2022-23,25.0,25.0,27.8,37.333333333333336,21.333333333333332,0,-730.0,22.0
22024,1627759,22400345,2024-12-07,BOS vs. MEM,L,35,10,14,0.714,2,3,0.667,0,1,0.0,1,2,3,6,1,0,5,3,22,-17,1,2024-25,25.0,24.0,26.0,33.666666666666664,22.333333333333332,1,731.0,17.0
22023,1627759,22301227,2023-12-08,BOS vs. NYK,W,27,7,13,0.538,2,5,0.4,1,1,1.0,0,0,0,4,1,1,2,5,17,17,1,2023-24,22.0,24.0,24.4,32.333333333333336,19.666666666666668,1,-365.0,31.0
22022,1627759,22200392,2022-12-10,BOS @ GSW,L,37,13,23,0.565,3,9,0.333,2,2,1.0,1,8,9,3,1,0,2,3,31,-9,1,2022-23,17.0,21.333333333333332,22.2,30.0,17.0,0,-363.0,21.0
22022,1627759,22200408,2022-12-12,BOS @ LAC,L,30,9,15,0.6,1,6,0.167,2,6,0.333,0,4,4,2,2,0,2,4,21,-26,1,2022-23,31.0,23.333333333333332,24.0,33.0,16.666666666666668,0,2.0,25.0
22023,1627759,22300305,2023-12-12,BOS vs. CLE,W,35,10,17,0.588,1,5,0.2,4,4,1.0,1,1,2,4,1,1,3,1,25,-6,1,2023-24,21.0,23.0,23.2,31.333333333333332,17.0,1,365.0,14.0
22024,1627759,22401205,2024-12-12,BOS vs. DET,W,30,6,12,0.5,1,2,0.5,1,1,1.0,1,8,9,6,1,0,4,1,14,30,1,2024-25,25.0,25.666666666666668,23.2,34.0,18.333333333333332,1,366.0,25.0
22022,1627759,22200413,2022-12-13,BOS @ LAL,W,43,10,21,0.476,3,7,0.429,2,4,0.5,2,13,15,5,3,0,4,4,25,10,1,2022-23,14.0,20.0,21.6,31.666666666666668,14.666666666666666,0,-730.0,22.0
22023,1627759,22300319,2023-12-14,BOS vs. CLE,W,36,10,20,0.5,2,5,0.4,0,0,0.0,2,3,5,5,2,0,2,3,22,4,1,2023-24,25.0,21.333333333333332,23.2,36.0,16.666666666666668,1,366.0,18.0
