SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON
22024,1627759,0022401106,"Apr 02, 2025",BOS vs. MIA,L,29,10,20,0.5,2,6,0.333,2,3,0.667,2,7,9,4,0,0,3,2,24,-1,1,2024-25
22023,1627759,0022301105,"Apr 03, 2024",BOS vs. OKC,W,33,9,20,0.45,3,9,0.333,2,3,0.667,1,6,7,4,1,2,5,4,23,8,1,2023-24
22024,1627759,0022401120,"Apr 04, 2025",BOS vs. PHX,W,28,10,16,0.625,3,4,0.75,8,9,0.889,0,5,5,3,0,0,1,0,31,21,1,2024-25
22022,1627759,0022201192,"Apr 05, 2023",BOS vs. TOR,W,39,12,29,0.414,1,9,0.111,0,2,0.0,1,10,11,5,0,0,4,0,25,4,1,2022-23
22024,1627759,0022401137,"Apr 06, 2025",BOS vs. WAS,W,22,5,9,0.556,2,4,0.5,3,4,0.75,0,2,2,5,0,0,1,0,15,13,1,2024-25
22023,1627759,0022301134,"Apr 07, 2024",BOS vs. POR,W,30,10,17,0.588,3,5,0.6,3,3,1.0,0,4,4,2,1,1,2,2,26,6,1,2023-24
22024,1627759,0022401151,"Apr 08, 2025",BOS @ NYK,W,22,2,8,0.25,0,2,0.0,2,2,1.0,0,5,5,1,0,0,3,3,6,-2,1,2024-25
22023,1627759,0022301148,"Apr 09, 2024",BOS @ MIL,L,36,7,19,0.368,0,6,0.0,0,0,0.0,4,6,10,3,4,0,5,3,14,-13,1,2023-24
22023,1627759,0022301167,"Apr 11, 2024",BOS vs. NYK,L,29,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,-29,1,2023-24
22023,1627759,0022300275,"Dec 01, 2023",BOS vs. PHI,W,35,8,20,0.4,1,4,0.25,3,4,0.75,1,3,4,0,4,2,3,3,20,10,1,2023-24
22022,1627759,0022200328,"Dec 02, 2022",BOS vs. MIA,L,46,12,23,0.522,5,11,0.455,8,9,0.889,0,14,14,5,0,0,5,2,37,7,1,2022-23
22024,1627759,0022400316,"Dec 02, 2024",BOS vs. MIA,W,31,8,21,0.381,4,11,0.364,9,10,0.9,4,3,7,4,1,0,2,2,29,23,1,2024-25
22022,1627759,0022200346,"Dec 04, 2022",BOS @ BKN,W,40,10,20,0.5,5,9,0.556,9,11,0.818,2,8,10,2,2,4,0,2,34,16,1,2022-23
22023,1627759,0022301202,"Dec 04, 2023",BOS @ IND,L,31,14,23,0.609,2,7,0.286,0,1,0.0,2,7,9,0,1,2,3,6,30,-10,1,2023-24
22024,1627759,0022400319,"Dec 04, 2024",BOS vs. DET,W,39,10,21,0.476,1,6,0.167,7,11,0.636,1,5,6,9,3,0,4,0,28,16,1,2024-25
22022,1627759,0022200355,"Dec 05, 2022",BOS @ TOR,W,39,9,22,0.409,1,6,0.167,3,4,0.75,0,8,8,8,0,0,0,1,22,6,1,2022-23
22024,1627759,0022400335,"Dec 06, 2024",BOS vs. MIL,W,34,10,21,0.476,3,9,0.333,2,2,1.0,1,2,3,3,0,1,1,3,25,5,1,2024-25
